Ano,Disciplina,Bimestre,Media,Mediana
2018,edfi,1,7.904761904761905,8.0
2018,edfi,2,7.785714285714286,8.0
2018,edfi,3,8.119047619047619,8.0
2018,edfi,4,8.142857142857142,8.0
2018,geog,1,7.619047619047619,7.0
2018,geog,2,7.714285714285714,7.5
2018,geog,3,7.523809523809524,7.5
2018,geog,4,7.904761904761905,8.0
2019,port,1,7.44,7.5
2019,port,2,7.72,8.0
2019,port,3,7.72,8.0
2019,port,4,8.28,8.0
2019,mate,1,7.4,7.0
2019,mate,2,6.68,6.0
2019,mate,3,6.78,7.0
2019,mate,4,6.9,7.0
2019,arte,1,8.68,9.0
2019,arte,2,8.4,9.0
2019,arte,3,8.6,9.0
2019,arte,4,8.22,9.0
2019,reli,1,7.64,7.5
2019,reli,2,7.98,8.0
2019,reli,3,7.56,7.5
2019,reli,4,7.94,8.0
2019,ingl,1,7.22,7.0
2019,ingl,2,7.36,7.0
2019,ingl,3,7.36,7.5
2019,ingl,4,7.68,8.0
2019,hist,1,7.38,7.5
2019,hist,2,7.48,7.0
2019,hist,3,7.74,8.0
2019,hist,4,7.8,8.0
2019,cien,1,7.16,7.0
2019,cien,2,7.5,7.5
2019,cien,3,7.14,7.5
2019,cien,4,5.94,6.0
2019,edfi,1,8.34,8.5
2019,edfi,2,7.88,8.0
2019,edfi,3,7.44,8.0
2019,edfi,4,8.36,8.0
2019,geog,1,7.66,7.5
2019,geog,2,8.18,8.0
2019,geog,3,8.04,8.0
2019,geog,4,7.6,8.0
2020,port,1,7.818181818181818,8.0
2020,port,2,7.484848484848484,8.0
2020,port,3,7.106060606060606,6.0
2020,port,4,7.636363636363637,8.0
2020,mate,1,7.606060606060606,8.0
2020,mate,2,8.378787878787879,9.0
2020,mate,3,7.575757575757576,8.0
2020,mate,4,7.46969696969697,7.5
2020,arte,1,8.636363636363637,9.0
2020,arte,2,8.545454545454545,9.5
2020,arte,3,8.136363636363637,8.5
2020,arte,4,8.636363636363637,10.0
2020,reli,1,8.393939393939394,8.0
2020,reli,2,7.863636363636363,8.0
2020,reli,3,8.015151515151516,8.0
2020,reli,4,7.96969696969697,8.0
2020,ingl,1,7.515151515151516,8.0
2020,ingl,2,7.393939393939394,8.0
2020,ingl,3,6.9393939393939394,6.0
2020,ingl,4,7.636363636363637,7.0
2020,hist,1,7.803030303030303,8.0
2020,hist,2,7.954545454545454,8.5
2020,hist,3,7.787878787878788,8.0
2020,hist,4,8.0,8.0
2020,cien,1,8.181818181818182,8.0
2020,cien,2,7.866666666666667,8.5
2020,cien,3,8.148484848484848,8.5
2020,cien,4,8.090909090909092,8.5
2020,edfi,1,8.257575757575758,8.0
2020,edfi,2,8.227272727272727,8.5
2020,edfi,3,7.521212121212121,6.5
2020,edfi,4,7.924242424242424,8.0
2020,geog,1,7.893939393939394,8.0
2020,geog,2,7.833333333333333,8.0
2020,geog,3,7.2727272727272725,7.0
2020,geog,4,7.575757575757576,7.5
2021,port,1,7.5625,6.5
2021,port,2,7.296875,6.5
2021,port,3,6.78125,6.0
2021,port,4,7.546875,7.0
2021,mate,1,7.140625,6.0
2021,mate,2,7.75,6.5
2021,mate,3,7.34375,6.0
2021,mate,4,7.278125,8.0
2021,arte,1,7.3125,7.0
2021,arte,2,7.421875,7.0
2021,arte,3,7.21875,6.5
2021,arte,4,7.921875,7.5
2021,reli,1,7.8125,7.25
2021,reli,2,7.734375,6.25
2021,reli,3,7.703125,6.5
2021,reli,4,8.078125,8.0
2021,ingl,1,8.046875,8.5
2021,ingl,2,7.703125,7.0
2021,ingl,3,7.84375,6.5
2021,ingl,4,8.09375,8.0
2021,hist,1,7.53125,7.0
2021,hist,2,7.125,6.0
2021,hist,3,7.5,6.0
2021,hist,4,7.734375,7.5
2021,cien,1,7.09375,6.5
2021,cien,2,7.78125,7.0
2021,cien,3,7.375,6.5
2021,cien,4,7.699999999999999,9.3
2021,edfi,1,7.765625,7.5
2021,edfi,2,7.65625,6.0
2021,edfi,3,7.796875,6.25
2021,edfi,4,7.71875,8.0
2021,geog,1,7.828125,7.5
2021,geog,2,7.734375,6.5
2021,geog,3,7.9375,7.5
2021,geog,4,8.359375,8.0
2022,port,1,7.64,7.0
2022,port,2,7.72,7.5
2022,port,3,7.94,7.5
2022,port,4,7.98,7.5
2022,mate,1,8.18,8.0
2022,mate,2,8.44,8.5
2022,mate,3,8.16,8.0
2022,mate,4,8.26,8.5
2022,arte,1,7.94,8.0
2022,arte,2,8.38,8.5
2022,arte,3,8.004,8.0
2022,arte,4,8.536,8.7
2022,reli,1,8.62,9.0
2022,reli,2,8.88,9.0
2022,reli,3,8.8,9.0
2022,reli,4,8.96,9.5
2022,ingl,1,7.24,7.0
2022,ingl,2,8.08,8.5
2022,ingl,3,8.24,8.0
2022,ingl,4,9.152000000000001,10.0
2022,hist,1,8.06,8.0
2022,hist,2,8.12,8.0
2022,hist,3,8.36,8.8
2022,hist,4,8.616,9.3
2022,cien,1,8.46,8.5
2022,cien,2,9.14,9.5
2022,cien,3,8.94,9.5
2022,cien,4,9.28,9.5
2022,edfi,1,8.74,9.0
2022,edfi,2,8.376,8.3
2022,edfi,3,8.572000000000001,9.0
2022,edfi,4,9.24,9.5
2022,geog,1,8.28,8.0
2022,geog,2,8.68,8.0
2022,geog,3,9.08,10.0
2022,geog,4,8.84,9.0
