Ano,Disciplina,Bimestre,Media,Mediana
2020,reli,1,8.39,8.0
2020,reli,2,7.86,8.0
2020,reli,3,8.02,8.0
2020,reli,4,7.97,8.0
2020,edfi,1,8.26,8.0
2020,edfi,2,8.23,8.5
2020,edfi,3,7.52,6.5
2020,edfi,4,7.92,8.0
2020,mate,1,7.61,8.0
2020,mate,2,8.38,9.0
2020,mate,3,7.58,8.0
2020,mate,4,7.47,7.5
2020,geog,1,7.89,8.0
2020,geog,2,7.83,8.0
2020,geog,3,7.27,7.0
2020,geog,4,7.58,7.5
2020,arte,1,8.64,9.0
2020,arte,2,8.55,9.5
2020,arte,3,8.14,8.5
2020,arte,4,8.64,10.0
2021,cien,1,7.09,6.5
2021,cien,2,7.78,7.0
2021,cien,3,7.38,6.5
2021,cien,4,7.7,9.3
2021,hist,1,7.53,7.0
2021,hist,2,7.12,6.0
2021,hist,3,7.5,6.0
2021,hist,4,7.73,7.5
2021,ingl,1,8.05,8.5
2021,ingl,2,7.7,7.0
2021,ingl,3,7.84,6.5
2021,ingl,4,8.09,8.0
2021,port,1,7.56,6.5
2021,port,2,7.3,6.5
2021,port,3,6.78,6.0
2021,port,4,7.55,7.0
2021,reli,1,7.81,7.25
2021,reli,2,7.73,6.25
2021,reli,3,7.7,6.5
2021,reli,4,8.08,8.0
2021,edfi,1,7.77,7.5
2021,edfi,2,7.66,6.0
2021,edfi,3,7.8,6.25
2021,edfi,4,7.72,8.0
2021,mate,1,7.14,6.0
2021,mate,2,7.75,6.5
2021,mate,3,7.34,6.0
2021,mate,4,7.28,8.0
2021,geog,1,7.83,7.5
2021,geog,2,7.73,6.5
2021,geog,3,7.94,7.5
2021,geog,4,8.36,8.0
2021,arte,1,7.31,7.0
2021,arte,2,7.42,7.0
2021,arte,3,7.22,6.5
2021,arte,4,7.92,7.5
2022,cien,1,8.46,8.5
2022,cien,2,9.14,9.5
2022,cien,3,8.94,9.5
2022,cien,4,9.28,9.5
2022,hist,1,8.06,8.0
2022,hist,2,8.12,8.0
2022,hist,3,8.36,8.8
2022,hist,4,8.62,9.3
2022,ingl,1,7.24,7.0
2022,ingl,2,8.08,8.5
2022,ingl,3,8.24,8.0
2022,ingl,4,9.15,10.0
2022,port,1,7.64,7.0
2022,port,2,7.72,7.5
2022,port,3,7.94,7.5
2022,port,4,7.98,7.5
2022,reli,1,8.62,9.0
2022,reli,2,8.88,9.0
2022,reli,3,8.8,9.0
2022,reli,4,8.96,9.5
2022,edfi,1,8.74,9.0
2022,edfi,2,8.38,8.3
2022,edfi,3,8.57,9.0
2022,edfi,4,9.24,9.5
2022,mate,1,8.18,8.0
2022,mate,2,8.44,8.5
2022,mate,3,8.16,8.0
2022,mate,4,8.26,8.5
2022,geog,1,8.28,8.0
2022,geog,2,8.68,8.0
2022,geog,3,9.08,10.0
2022,geog,4,8.84,9.0
2022,arte,1,7.94,8.0
2022,arte,2,8.38,8.5
2022,arte,3,8.0,8.0
2022,arte,4,8.54,8.7
